gambar_sepeda,panjang_sepeda,poros_pedal_ke_poros_ban_depan,poros_pedal_ke_dasar_ban,poros_pedal_ke_ujung_sadel
1.jpg,174.3,63.35,24.74,3.99
2.jpg,180.14,56.16,27.11,9.83
3.jpg,179.0,55.38,25.48,11.09
4.jpg,163.85,64.6,26.15,5.7
5.jpg,163.73,55.19,29.94,9.51
6.jpg,166.7,59.26,28.11,10.97
7.jpg,169.03,60.44,29.69,10.46
8.jpg,170.21,59.96,24.86,3.83
9.jpg,176.99,54.95,26.29,11.56
10.jpg,161.42,54.63,27.33,5.77
11.jpg,160.87,55.16,24.46,5.39
12.jpg,169.8,60.44,24.03,2.62
13.jpg,177.43,59.99,28.02,6.86
14.jpg,164.84,56.57,27.85,3.09
15.jpg,176.04,61.02,26.46,4.49
16.jpg,166.5,63.02,26.94,5.17
17.jpg,182.15,54.46,26.49,10.09
18.jpg,182.39,59.48,24.14,10.75
19.jpg,167.43,61.58,26.01,5.02
20.jpg,165.75,56.78,25.06,10.59
21.jpg,170.28,57.39,24.59,10.57
22.jpg,166.01,60.75,29.74,9.65
23.jpg,176.81,63.88,27.6,3.47
24.jpg,180.65,62.91,28.37,8.9
25.jpg,176.83,60.41,25.89,11.45
26.jpg,180.61,62.03,26.36,8.83
27.jpg,169.92,58.01,25.42,5.32
28.jpg,163.91,61.05,24.58,7.01
29.jpg,178.45,59.13,25.07,8.46
30.jpg,169.01,56.09,28.79,7.11
31.jpg,176.78,61.72,28.07,3.2
32.jpg,166.77,60.12,27.28,5.12
33.jpg,162.03,57.94,26.85,10.02
34.jpg,184.81,64.02,29.53,10.61
35.jpg,163.91,54.23,24.44,3.37
36.jpg,184.71,57.47,25.68,11.52
37.jpg,184.43,54.63,26.1,5.29
38.jpg,179.85,62.43,28.69,8.62
39.jpg,176.49,61.72,29.96,9.52
40.jpg,174.45,57.64,25.44,10.12
41.jpg,181.65,61.43,29.25,11.46
42.jpg,167.24,58.36,28.98,5.13
43.jpg,171.69,62.32,25.35,10.59
44.jpg,175.48,59.0,26.4,3.32
45.jpg,170.28,58.54,26.46,9.05
46.jpg,170.69,64.28,29.87,9.42
47.jpg,168.26,56.76,25.09,8.78
48.jpg,174.11,55.32,28.79,4.52
49.jpg,181.26,60.43,26.01,10.73
50.jpg,165.04,64.66,28.39,3.69
51.jpg,183.36,58.16,26.52,2.54
52.jpg,177.23,54.68,27.47,9.17
53.jpg,180.58,57.73,29.0,6.75
54.jpg,173.9,59.57,28.82,10.49
55.jpg,179.49,55.78,29.2,5.83
56.jpg,160.41,61.24,24.36,3.68
57.jpg,180.46,64.98,28.15,10.36
58.jpg,161.0,58.97,24.84,7.49
59.jpg,182.25,57.9,26.49,3.89
60.jpg,184.8,58.41,27.29,9.2
61.jpg,167.35,55.27,26.42,7.11
62.jpg,165.26,63.72,27.12,8.04
63.jpg,179.13,58.56,29.98,6.61
64.jpg,166.33,58.26,24.81,10.29
65.jpg,181.64,61.26,28.05,10.3
66.jpg,162.57,58.86,26.38,9.09
67.jpg,163.15,61.13,24.8,3.05
68.jpg,184.48,54.68,24.95,10.39
69.jpg,176.85,62.95,29.7,8.71
70.jpg,181.17,64.35,29.28,8.97
71.jpg,168.11,61.14,29.44,5.63
72.jpg,176.91,64.5,29.95,10.79
73.jpg,174.86,55.67,25.25,9.25
74.jpg,175.08,59.25,26.13,3.13
75.jpg,177.06,60.62,28.02,6.08
76.jpg,174.38,60.4,26.9,10.86
77.jpg,170.73,58.42,26.51,2.47
78.jpg,166.9,57.72,26.15,11.61
79.jpg,179.21,55.4,27.56,8.79
80.jpg,165.66,58.31,27.45,8.31
81.jpg,177.31,55.79,24.97,4.71
82.jpg,165.83,62.08,26.83,4.49
83.jpg,175.63,56.3,27.32,11.42
84.jpg,178.68,54.64,27.42,4.98
85.jpg,165.47,60.08,25.26,9.76
86.jpg,161.5,60.55,28.45,5.93
87.jpg,163.27,63.59,24.15,3.39
88.jpg,175.15,60.35,26.13,2.11
89.jpg,181.24,57.8,28.68,7.44
90.jpg,161.12,62.83,27.38,11.76
91.jpg,178.35,59.94,25.57,5.69
92.jpg,168.53,54.87,28.17,5.57
93.jpg,171.96,60.22,27.4,5.44
94.jpg,183.22,63.99,28.78,7.21
95.jpg,168.3,58.36,28.41,6.41
96.jpg,171.63,57.26,27.66,10.8
97.jpg,160.34,55.58,26.93,7.06
98.jpg,162.04,55.67,24.8,7.08
99.jpg,166.46,58.76,25.57,3.38
100.jpg,160.7,60.55,26.51,11.83
101.jpg,175.78,54.89,27.6,4.5
102.jpg,170.66,64.34,27.08,2.73
103.jpg,173.7,62.31,25.73,8.63
104.jpg,164.37,60.45,24.04,7.95
105.jpg,167.4,63.11,26.98,6.15
106.jpg,176.6,54.88,25.71,6.22
107.jpg,184.13,59.25,28.41,9.85
108.jpg,161.26,60.93,24.14,3.96
109.jpg,182.26,63.12,27.51,10.2
110.jpg,174.42,62.62,29.65,8.49
111.jpg,174.1,57.05,25.05,6.19
112.jpg,172.51,64.35,26.83,6.58
113.jpg,161.73,55.37,24.55,4.57
114.jpg,162.25,63.63,27.75,9.52
115.jpg,175.02,64.68,27.3,7.13
116.jpg,168.52,55.95,26.44,5.21
117.jpg,182.93,61.94,27.13,7.96
118.jpg,170.16,54.44,29.38,11.96
119.jpg,163.58,58.46,25.18,6.35
120.jpg,177.87,59.68,24.14,11.21
121.jpg,167.33,60.39,29.17,5.45
122.jpg,173.14,64.3,27.46,2.55
123.jpg,177.45,61.39,29.34,4.04
124.jpg,182.51,59.29,27.58,6.19
125.jpg,179.8,62.91,28.86,4.2
126.jpg,176.91,64.46,26.58,2.0
127.jpg,176.99,54.24,28.5,11.15
128.jpg,183.65,64.81,29.48,10.44
129.jpg,167.4,54.95,27.43,9.42
130.jpg,160.03,62.96,25.08,3.68
131.jpg,166.8,57.08,25.61,3.2
132.jpg,165.45,55.45,25.19,2.68
133.jpg,176.55,58.84,25.48,9.24
134.jpg,175.84,61.08,25.84,11.29
135.jpg,174.84,58.19,27.33,6.31
136.jpg,160.41,54.6,27.53,3.19
137.jpg,178.22,60.59,26.56,7.12
138.jpg,168.09,63.93,27.69,5.49
139.jpg,176.63,58.22,24.49,5.75
140.jpg,173.91,56.38,24.53,8.21
141.jpg,168.57,58.87,25.03,9.19
142.jpg,163.36,54.53,27.11,3.11
143.jpg,162.36,63.03,25.28,2.36
144.jpg,180.79,63.09,25.7,11.94
145.jpg,182.96,60.47,26.4,4.33
146.jpg,176.24,57.88,28.87,2.54
147.jpg,162.59,62.8,24.08,3.9
148.jpg,170.05,60.1,27.9,2.39
149.jpg,178.22,63.09,28.01,5.92
150.jpg,179.5,60.95,28.79,10.02
151.jpg,162.96,62.63,29.6,5.41
152.jpg,160.0,60.58,24.12,6.44
153.jpg,177.8,58.56,24.92,8.76
154.jpg,168.91,64.54,29.32,7.09
155.jpg,166.36,59.95,26.75,10.61
156.jpg,160.32,60.66,27.39,10.66
157.jpg,173.51,56.43,27.98,2.1
158.jpg,181.28,60.88,28.07,9.78
159.jpg,183.94,60.29,29.59,6.61
160.jpg,174.14,56.03,29.98,11.89
161.jpg,172.86,54.66,28.32,6.83
162.jpg,162.13,60.65,25.72,11.87
163.jpg,173.72,62.4,29.28,9.55
164.jpg,169.5,59.76,24.3,4.49
165.jpg,175.18,56.49,25.39,7.38
166.jpg,169.72,61.33,29.38,11.92
167.jpg,166.01,54.88,25.54,10.58
168.jpg,162.37,58.86,25.32,2.97
169.jpg,167.87,55.8,24.83,9.06
170.jpg,162.42,56.03,29.15,5.46
171.jpg,164.42,56.23,27.0,2.07
172.jpg,184.68,58.25,28.05,6.03
173.jpg,171.1,54.56,25.43,4.35
174.jpg,173.3,58.38,28.55,10.19
175.jpg,181.84,59.63,28.56,5.37
176.jpg,184.89,59.32,25.88,10.28
177.jpg,174.57,58.21,26.46,2.01
178.jpg,180.31,63.23,25.26,5.08
179.jpg,168.17,55.6,29.86,4.41
180.jpg,167.64,59.56,27.87,4.34
181.jpg,170.07,54.68,29.61,2.68
182.jpg,176.81,54.78,25.82,3.87
183.jpg,177.05,60.31,28.69,7.56
184.jpg,167.88,60.23,28.6,4.91
185.jpg,163.33,63.66,28.15,6.17
186.jpg,175.81,60.14,29.79,5.77
187.jpg,163.21,64.56,26.36,10.76
188.jpg,174.46,54.54,24.78,11.05
189.jpg,177.34,55.08,28.03,6.93
190.jpg,177.52,54.48,28.38,5.3
191.jpg,178.84,56.04,27.45,3.07
192.jpg,181.82,59.95,25.24,11.53
193.jpg,172.5,61.1,27.03,2.6
194.jpg,178.26,54.5,25.87,4.98
195.jpg,175.48,64.41,26.56,4.98
196.jpg,164.67,63.26,27.87,5.2
197.jpg,160.64,57.26,28.47,3.64
198.jpg,167.11,54.85,25.39,9.83
199.jpg,171.08,55.87,26.43,3.22
200.jpg,175.43,55.4,25.61,8.35
